lines	Estimate	Std. Error	z value	Pr(>|z|)
292	3.46573590247358	1.01549223173994	3.41286303740147	0.000642842411556301
400	1.79175946922806	0.763762615821492	2.34596382712561	0.0189779491952323
432	2.30258509299395	0.605529952162933	3.80259487539666	0.000143188403254595
449	3.43398720444163	1.0159964272417	3.37992055126066	0.000725067858092826
PI127826	3.68887945411301	1.01242216554958	3.64361783022654	0.000268832496750002
303	2.22462355152433	0.526333570112163	4.22664195835022	0.0000237204647003894
341	2.07944154167984	0.749999999064873	2.77258872569675	0.0055612356655486
258	1.58045037556085	0.415052897307072	3.80782879920862	0.000140192271635232
295	2.07944154167984	0.612372435653523	3.39571381827573	0.000684498872081955
290	1.25276296849537	0.462910049245425	2.70627732220862	0.00680421979941377
411	0.916290731874154	0.374165738677394	2.44888998953531	0.0143297207407953
376	0.83975065475182	0.274515667448321	3.05902633010886	0.00222057632475869
280	0.693147180559945	0.433012701892219	1.60075484513726	0.109431228391691
250	0.54654370636807	0.378867615212041	1.44257171746438	0.149141155313254
296	0.382992252256105	0.334845056886334	1.14378947629535	0.25271095523444
286	-0.100083458556983	0.316623793430652	-0.316095822972013	0.75192977711524
337	-0.747214401830221	0.404651319111256	-1.84656361301711	0.0648104118889684
346	-0.0645385211375715	0.35939764421413	-0.17957413515799	0.857486911718679
F1	-0.762140052046897	0.457737708215087	-1.66501478547355	0.0959098060481057
445	-0.45953232937844	0.3687342027541	-1.24624275683178	0.212675286244396
200	-0.287682072451781	0.341565025531987	-0.842246866475034	0.399649785455468
366	-1.01160091167848	0.583874208121129	-1.73256653164001	0.0831727422184817
211	-0.82098055206983	0.361813613493316	-2.26907037616205	0.0232640465115752
151	-0.65058756614115	0.35610615580596	-1.82694838472731	0.0677075303771574
138	-1.04982212449868	0.43915503282684	-2.39055013838957	0.0168231519465682
Elite	-0.693147180559945	0.273861278752582	-2.53101564309193	0.0113732776150376
190	-0.646627164925053	0.372193684159388	-1.7373405096475	0.0823270851703878
256	-0.82098055206983	0.361813613493316	-2.26907037616205	0.0232640465115753
225	-0.847297860387203	0.398409536444796	-2.12670075106148	0.0334449550819925
102	-0.980829253011724	0.39086797998524	-2.50936199237595	0.0120949466945436
201	-1.54044504094715	0.449867705421219	-3.42421788090969	0.000616571657877682
