line	percentage
449	0
449	12.5
449	0
411	27.2727272727273
411	25
411	33.3333333333333
337	77.7777777777778
337	50
337	50
138	70
138	83.3333333333333
138	60
346	50
346	53.3333333333333
346	50
290	0
290	50
290	22.2222222222222
201	83.3333333333333
201	77.7777777777778
201	84.6153846153846
F1	91.6666666666667
F1	37.5
F1	50
225	37.5
225	90
225	75
102	90
102	45.4545454545455
102	83.3333333333333
376	0
376	25
376	30
324	0
324	0
324	0
292	0
292	16.6666666666667
292	0
294	0
294	0
294	0
286	84.6153846153846
286	25
286	46.6666666666667
256	77.7777777777778
256	58.3333333333333
256	73.3333333333333
211	88.8888888888889
211	64.7058823529412
211	60
Elite	53.8461538461538
Elite	100
Elite	75
151	77.7777777777778
151	57.1428571428571
151	66.6666666666667
190	81.8181818181818
190	72.7272727272727
190	40
366	60
366	50
366	87.5
387	0
387	0
387	0
296	25
296	42.8571428571429
296	54.5454545454545
341	0
341	25
341	14.2857142857143
432	25
432	0
432	0
PI127826	6.66666666666667
PI127826	0
PI127826	0
303	9.09090909090909
303	6.66666666666667
303	13.3333333333333
400	22.2222222222222
400	0
400	0
373	0
373	0
373	0
396	0
396	0
396	0
Elite	66.6666666666667
Elite	37.5
Elite	75
250	36.3636363636364
250	36.3636363636364
250	37.5
295	0
295	16.6666666666667
295	15.3846153846154
200	54.5454545454545
200	66.6666666666667
200	44.4444444444444
280	33.3333333333333
280	50
280	27.2727272727273
376	8.33333333333333
376	46.6666666666667
376	50
445	75
445	53.8461538461538
445	50
258	15.3846153846154
258	26.6666666666667
258	7.69230769230769
