line	coef	stderr	zvalue	pvalue
294	NA	NA	NA	NA
324	NA	NA	NA	NA
373	NA	NA	NA	NA
387	NA	NA	NA	NA
396	NA	NA	NA	NA
292	3.46573590247358	1.01549223173994	3.41286303740147	0.000642842411556301
400	1.79175946922806	0.763762615821492	2.34596382712561	0.0189779491952323
432	2.30258509299395	0.605529952162933	3.80259487539666	0.000143188403254595
449	3.43398720444163	1.0159964272417	3.37992055126066	0.000725067858092826
PI127826	3.68887945411301	1.01242216554958	3.64361783022654	0.000268832496750002
303	2.22462355152433	0.526333570112163	4.22664195835022	0.0000237204647003894
341	2.07944154167984	0.749999999064873	2.77258872569675	0.0055612356655486
258	1.58045037556085	0.415052897307072	3.80782879920862	0.000140192271635232
295	2.07944154167984	0.612372435653523	3.39571381827573	0.000684498872081955
290	1.25276296849537	0.462910049245425	2.70627732220862	0.00680421979941377
411	0.916290731874154	0.374165738677394	2.44888998953531	0.0143297207407953
376	0.83975065475182	0.274515667448321	3.05902633010886	0.00222057632475869
