wf_survival	perc_survival	thrips_median_survival_time	median	species	color	scaled_thrips_survival_median_time	rmst	scaled_thrips_survival_rmst
LA0716	0	0	5	pennellii	#9590FF	35.7142857142857	4.75	95
PI127826	15.3	18.4708249496982	6	habrochaites	#39B600	42.8571428571429	5	100
LA1777	24.1666666666667	29.1750503018109	3	habrochaites	#39B600	21.4285714285714	3.13827838827839	62.7655677655678
LYC4	30.3333333333333	36.6197183098592	1.5	habrochaites	#39B600	10.7142857142857	2.32352941176471	46.4705882352942
PI134418	46.6666666666667	56.3380281690141	3	habrochaites	#39B600	21.4285714285714	2.98737373737374	59.7474747474748
LA1718	52.6666666666667	63.5814889336016	6	habrochaites	#39B600	42.8571428571429	4.83333333333333	96.6666666666666
LA1954	54.1666666666667	65.3923541247485	11	peruvianum	#e76bf3	78.5714285714286	4.66666666666667	93.3333333333334
LA2695	62.5	75.4527162977867	5	chmielewskii	#A3A500	35.7142857142857	4.66666666666667	93.3333333333334
LA4024	72.1666666666667	87.1227364185111	12	lycopersicum	#00BFC4	85.7142857142857	5	100
LA2172	72.3333333333333	87.3239436619718	5	arcanum	#F8766D	35.7142857142857	4.52941176470588	90.5882352941176
LA1401	73.3333333333333	88.5311871227364	4	cheesmaniae	#D89000	28.5714285714286	3.39860317460317	67.9720634920634
LA0407	73.6666666666667	88.933601609658	3	habrochaites	#39B600	21.4285714285714	2.625	52.5
LA1578	76	91.7505030181087	7	pimpinellifolium 	#FF62BC	50	4.8695652173913	97.391304347826
LA1364	77.5	93.5613682092555	14	huaylasense 	#00BF7D	100	5	100
LA2133	77.8333333333333	93.9637826961771	6	neorickii	#00B0F6	42.8571428571429	4.875	97.5
MM	80.5	97.1830985915493	11	lycopersicum	#00BFC4	78.5714285714286	4.95	99
LA1840	81.1666666666667	97.9879275653924	12	chmielewskii	#A3A500	85.7142857142857	5	100
LA0735	82.6666666666667	99.7987927565393	5.5	neorickii	#00B0F6	39.2857142857143	4.70833333333333	94.1666666666666
LA1278	82.8333333333333	100	5	peruvianum	#e76bf3	35.7142857142857	5	100
