line	cage	dead	alive
346	1	4	4
346	2	7	8
346	3	4	4
290	1	10	0
290	2	4	4
290	3	7	2
201	1	2	10
201	2	2	7
201	3	2	11
F1	1	1	11
F1	2	5	3
F1	3	1	1
102	1	1	9
102	2	6	5
102	3	2	10
376	1	6	0
376	2	6	2
376	3	7	3
324	1	15	0
324	2	3	0
324	3	13	0
292	1	16	0
292	2	5	1
292	3	11	0
294	1	14	0
294	2	12	0
294	3	15	0
286	1	2	11
286	2	9	3
286	3	8	7
256	1	2	7
256	2	5	7
256	3	4	11
211	1	1	8
211	2	6	11
211	3	4	6
Elite	1	6	7
Elite	2	0	7
Elite	3	3	9
151	1	2	7
151	2	6	8
151	3	4	8
366	1	2	3
366	2	1	1
366	3	1	7
432	1	9	3
432	2	10	0
432	3	11	0
PI127826	1	14	1
PI127826	2	13	0
PI127826	3	13	0
303	1	10	1
303	2	14	1
303	3	13	2
400	1	7	2
400	2	1	0
400	3	4	0
373	1	12	0
373	2	8	0
373	3	9	0
396	1	14	0
396	2	8	0
396	3	12	0
Elite	1	4	8
Elite	2	5	3
Elite	3	2	6
295	1	8	0
295	2	5	1
295	3	11	2
200	1	5	6
200	2	5	10
200	3	5	4
376	1	11	1
376	2	8	7
376	3	6	6
445	1	3	9
445	2	6	7
445	3	3	3
258	1	11	2
258	2	11	4
258	3	12	1
